epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,0.02101689949631691,0.9110026955604553,0.023734,0.470562,0.152477,0.154935,0.152728,1.950454592704773,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
199,0.010479913093149662,0.9517378807067871,0.013936,0.474138,0.153251,0.15598,0.153548,2.203223943710327,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
299,0.006152999587357044,0.9725195169448853,0.00855,0.476827,0.152819,0.155415,0.153063,2.4419772624969482,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
399,0.009352032095193863,0.9772648215293884,0.005183,0.473837,0.154415,0.157063,0.154692,2.673948049545288,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
499,0.003931790590286255,0.9848965406417847,0.0031940000000000002,0.475654,0.154331,0.157039,0.154582,2.8651063442230225,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
599,0.00548482034355402,0.9898364543914795,0.002886999999999973,0.474375,0.155115,0.1578,0.155387,3.025341033935547,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
699,-0.0030796057544648647,0.9958174228668213,0.0026740000000000097,0.47756,0.153546,0.156209,0.153799,3.1675620079040527,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
799,0.005083938129246235,0.9963526725769043,0.0021649999999999725,0.473389,0.155158,0.157986,0.155418,3.2979042530059814,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
899,0.0005237190052866936,0.9953961372375488,0.0014210000000000056,0.475296,0.153231,0.155906,0.15349,3.4196231365203857,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
999,-0.0034252589102834463,0.9958513379096985,0.0027200000000000557,0.476144,0.151727,0.154413,0.151974,3.5305984020233154,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1099,-0.00046458025462925434,0.9996386766433716,0.0009979999999999989,0.474918,0.153656,0.156297,0.153908,3.6193342208862305,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1199,-0.0036205113865435123,0.999918520450592,0.0018409999999999815,0.476167,0.152481,0.155129,0.152733,3.702171564102173,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1299,-0.005241227801889181,1.0002264976501465,0.0027840000000000087,0.477199,0.152711,0.155302,0.152966,3.719658851623535,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1399,-0.005158407613635063,0.9987841844558716,0.0028739999999999877,0.477323,0.152319,0.154852,0.15257,3.621591806411743,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1499,-0.002910775598138571,1.000396490097046,0.0020319999999999783,0.475579,0.152924,0.155546,0.15317,3.612438440322876,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1599,-0.0022040812764316797,0.9990127086639404,0.0023090000000000055,0.476517,0.153197,0.155911,0.153466,3.6577272415161133,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1699,-0.002484410535544157,0.9967241287231445,0.0021260000000000723,0.476617,0.151992,0.1547,0.152279,3.6937100887298584,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1799,0.0007480764761567116,0.9964861869812012,0.0017680000000000196,0.474475,0.152431,0.155164,0.152732,3.7228481769561768,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1899,-0.0058036912232637405,0.9980502724647522,0.0034720000000000306,0.477628,0.151593,0.154229,0.151856,3.755769968032837,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
1999,-0.0019230721518397331,0.9996961951255798,0.0020299999999999763,0.47639,0.153424,0.156103,0.153666,3.8160641193389893,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2099,-0.0037871862296015024,0.9977657198905945,0.0027329999999999854,0.476524,0.152049,0.154722,0.152324,3.860097885131836,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2199,-0.0033784841652959585,0.9982516169548035,0.0025060000000000082,0.476307,0.151919,0.15462,0.152204,3.8982741832733154,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2299,-0.008825099095702171,0.9996051788330078,0.004918000000000089,0.479085,0.151361,0.153996,0.151609,3.91172456741333,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2399,-0.003415954066440463,0.9989044070243835,0.002079000000000053,0.476573,0.152419,0.15503,0.152667,3.9017906188964844,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2499,-0.00028060702607035637,0.9962142705917358,0.002006999999999981,0.475999,0.152463,0.155174,0.15273,3.9166853427886963,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2599,-0.00015388522297143936,0.999634861946106,0.0010919999999999819,0.475919,0.153416,0.156148,0.153699,3.894787073135376,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2699,-0.0005125838797539473,0.9972944259643555,0.0022300000000000653,0.477041,0.152877,0.15548,0.153139,3.956329822540283,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
2799,9.961053729057312e-05,0.9970756769180298,0.0023290000000000255,0.477345,0.153159,0.155794,0.153421,3.9603774547576904,0.475276,0.153627,0.156307,0.153898,4.07520866394043,nan,1000000
