epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.011603772640228271,0.888010561466217,0.160139,0.160139,0.0,0.0,0.0,0.6991986036300659,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
199,-0.008615240454673767,0.9552556872367859,0.06268,0.06268,0.0,0.0,0.0,0.7943235039710999,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
299,-0.00680658221244812,0.9624695181846619,0.037932,0.037932,0.0,0.0,0.0,0.8826484084129333,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
399,-0.0020005404949188232,0.9822002053260803,0.019018,0.019018,0.0,0.0,0.0,0.9768338203430176,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
499,0.001217767596244812,1.0055915117263794,0.013025,0.013024,0.0,0.001137,0.000106,0.9999690055847168,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
599,0.0011813938617706299,1.0078966617584229,0.015969,0.015969,0.0,0.001353,0.000136,0.9999854564666748,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
699,-6.961822509765625e-05,1.0027028322219849,0.012789,0.012789,0.0,0.000819,8.7e-05,0.9999926090240479,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
799,0.0006268620491027832,1.003720760345459,0.010247000000000001,0.010246,0.0,0.001059,0.00011,0.9999723434448242,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
899,-0.00017617642879486084,0.9953936338424683,0.00937,0.00937,0.0,0.000578,6.2e-05,0.9999960660934448,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
999,7.827579975128174e-05,0.9988207817077637,0.008012,0.008012,0.0,0.00083,8.2e-05,0.9999921917915344,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1099,0.0008119642734527588,1.0057039260864258,0.007425,0.007425,0.0,0.001179,0.000121,0.9999989867210388,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1199,-0.0010036975145339966,1.0005431175231934,0.008002,0.008002,0.0,0.000749,8e-05,0.9999925494194031,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1299,0.0012262612581253052,1.0061087608337402,0.007644,0.007644,0.0,0.001117,9.8e-05,0.9999995231628418,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1399,-0.00018061697483062744,1.000746488571167,0.006992,0.006992,0.0,0.000412,2.7e-05,0.9999885559082031,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1499,-0.0007295310497283936,0.9992613196372986,0.006551,0.006551,0.0,0.000836,7.7e-05,0.9999979138374329,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1599,0.0006002932786941528,1.0044063329696655,0.007096,0.007096,0.0,0.000685,8.5e-05,0.9999834299087524,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1699,-0.002813011407852173,0.9861649870872498,0.008556000000000001,0.008556,0.0,0.000763,7.5e-05,0.9999985694885254,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1799,0.0011480003595352173,1.0101630687713623,0.0066380000000000015,0.005357,0.0,0.001226,0.000134,0.9999934434890747,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1899,0.00035600364208221436,1.0018994808197021,0.006607000000000002,0.005815,0.0,0.000955,8.5e-05,0.9999864101409912,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
1999,-0.0003842264413833618,1.0007333755493164,0.006328,0.006328,0.0,0.000901,9.1e-05,0.999976634979248,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2099,0.0002929121255874634,1.0016545057296753,0.007092,0.007092,0.0,0.00081,8.6e-05,0.999994158744812,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2199,3.905594348907471e-05,0.9973799586296082,0.0067,0.0067,0.0,0.000348,1.9e-05,0.9999682903289795,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2299,0.00038316845893859863,0.9998721480369568,0.006018,0.006018,0.0,0.001416,0.000166,0.9999877214431763,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2399,-0.00011149048805236816,0.999896764755249,0.005748,0.005748,0.0,0.000767,8.5e-05,0.9999949932098389,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2499,0.000943109393119812,1.017205834388733,0.007553,0.007553,0.0,0.001771,0.000184,0.9999953508377075,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2599,0.0004565417766571045,0.9987967610359192,0.007168999999999998,0.004972,0.0,0.000796,7.8e-05,0.9999899864196777,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2699,0.0008206218481063843,1.0025198459625244,0.005304,0.005304,0.0,0.00125,0.000132,0.9999948740005493,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2799,0.0006671249866485596,1.0036870241165161,0.006454999999999999,0.005767,0.0,0.001404,0.000154,0.9999984502792358,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2899,0.00028827786445617676,1.0007786750793457,0.00556,0.00556,0.0,0.000453,5e-05,0.9999820590019226,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
2999,-7.919967174530029e-05,1.0002338886260986,0.005078,0.005078,0.0,0.000744,7.9e-05,0.999993085861206,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3099,0.000676378607749939,1.002929925918579,0.004716,0.004716,0.0,0.000238,3e-06,0.9997802972793579,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3199,-0.00024481117725372314,0.9970386624336243,0.005649000000000001,0.004919,0.0,0.000744,7.3e-05,0.999983549118042,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
3299,0.0006093531847000122,1.003578543663025,0.004226000000000001,0.004182,0.0,0.000923,9.2e-05,0.9999754428863525,0.0,0.0,0.000737,6.1e-05,0.999998152256012,nan,1000000
