epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,0.023874685168266296,0.9122534990310669,0.023693000000000002,0.469693,0.152739,0.155316,0.152985,1.9455251693725586,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
199,0.013194659724831581,0.9527997970581055,0.013719,0.473895,0.153145,0.15583,0.153432,2.2023532390594482,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
299,0.008806169964373112,0.9734057784080505,0.008398999999999998,0.475993,0.152767,0.155391,0.153042,2.4407472610473633,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
399,0.012143201194703579,0.9781911969184875,0.00506,0.473106,0.154351,0.156885,0.154612,2.6735363006591797,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
499,0.006923507899045944,0.9860638976097107,0.003099,0.474475,0.154206,0.156884,0.154442,2.8642427921295166,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
599,0.008578650653362274,0.9912562370300293,0.004255000000000009,0.473311,0.154991,0.157637,0.155253,3.0250461101531982,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
699,5.296757444739342e-05,0.9972867369651794,0.0020940000000000125,0.476646,0.153477,0.15622,0.153749,3.1681549549102783,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
799,0.008241487666964531,0.9978075623512268,0.003987000000000074,0.472801,0.155243,0.157925,0.155503,3.299888849258423,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
899,0.003611564403399825,0.996801495552063,0.0023360000000000047,0.47435,0.153041,0.155717,0.153313,3.4265897274017334,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
999,-0.0003977082669734955,0.9971068501472473,0.001438999999999968,0.47538,0.151664,0.154324,0.151954,3.531789541244507,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
1099,0.002438147785142064,1.0008466243743896,0.002511000000000041,0.474412,0.153361,0.156096,0.153632,3.6165578365325928,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
1199,-0.0007812309777364135,1.0011080503463745,0.001407000000000047,0.475592,0.152194,0.154844,0.152478,3.6961348056793213,0.476451,0.152859,0.155359,0.153101,3.8234739303588867,nan,1000000
