epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.012287735939025879,0.8865350484848022,0.160646,0.160648,0.0,0.0,0.0,0.699367105960846,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
199,-0.009371340274810791,0.9532167315483093,0.062814,0.062816,0.0,0.0,0.0,0.79413902759552,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
299,-0.007588028907775879,0.9604864120483398,0.037784,0.037785,0.0,0.0,0.0,0.8828273415565491,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
399,-0.0025977492332458496,0.9806690812110901,0.018611000000000003,0.018613,0.0,0.0,0.0,0.9767252206802368,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
499,0.0007265359163284302,1.0044519901275635,0.012844,0.012844,0.0,0.001198,0.00013,0.9999983310699463,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
599,0.0005870610475540161,1.006575107574463,0.015576,0.015578,0.0,0.001416,0.000138,0.9999995231628418,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
699,-0.0006416738033294678,1.0015572309494019,0.012315,0.012316,0.0,0.000817,7.6e-05,0.999982476234436,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
799,2.8014183044433594e-05,1.0024560689926147,0.009974,0.009976,0.0,0.001075,0.000101,0.9999866485595703,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
899,-0.0007750838994979858,0.9941791296005249,0.009122,0.009123,0.0,0.000615,6.4e-05,0.9999979734420776,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
999,-0.0004996061325073242,0.9975842833518982,0.007816,0.007818,0.0,0.000839,9.4e-05,0.9999988079071045,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1099,0.00021335482597351074,1.0045210123062134,0.007405999999999999,0.007407,0.0,0.001209,0.000128,0.9999944567680359,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1199,-0.0016117095947265625,0.9994429349899292,0.007888,0.00789,0.0,0.00082,0.000101,0.999924898147583,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1299,0.0006199181079864502,1.0049686431884766,0.007574,0.007575,0.0,0.001144,0.000126,0.9999949932098389,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1399,-0.0007846951484680176,0.9996891617774963,0.0069830000000000005,0.006985,0.0,0.000443,3.8e-05,0.9999916553497314,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1499,-0.0013175159692764282,0.9982350468635559,0.006617,0.006616,0.0,0.000854,9.4e-05,0.999998927116394,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1599,1.0669231414794922e-05,1.0033133029937744,0.007088,0.007089,0.0,0.000742,7.8e-05,0.999997615814209,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1699,-0.003391951322555542,0.9850631952285767,0.008624,0.008625,0.0,0.000804,9.4e-05,0.9999935626983643,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1799,0.0005296319723129272,1.0090854167938232,0.006818000000000001,0.005461,0.0,0.001296,0.000159,0.9999997615814209,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1899,-0.0002585947513580322,1.000869870185852,0.0061360000000000026,0.005841,0.0,0.000981,0.000116,0.9999892711639404,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
1999,-0.001008749008178711,0.9996034502983093,0.006285,0.006286,0.0,0.000931,0.000107,0.9999991655349731,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2099,-0.0003068894147872925,1.0005502700805664,0.007072,0.007071,0.0,0.000836,8.5e-05,0.9999778270721436,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2199,-0.000533565878868103,0.9963239431381226,0.006804999999999999,0.006806,0.0,0.000341,2.2e-05,0.9999947547912598,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2299,-0.00022970139980316162,0.9988287091255188,0.0060149999999999995,0.006017,0.0,0.00147,0.000164,0.9999732971191406,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2399,-0.0007082074880599976,0.9987828731536865,0.0057799999999999995,0.00578,0.0,0.000809,9.5e-05,0.9999902844429016,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2499,0.00033155083656311035,1.0161678791046143,0.0076,0.007601,0.0,0.001833,0.000193,0.9999918937683105,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2599,-0.00015714764595031738,0.9977036714553833,0.007228000000000002,0.004924,0.0,0.000854,9.8e-05,0.9999955296516418,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2699,0.00020809471607208252,1.0014368295669556,0.005272,0.005274,0.0,0.001337,0.000138,0.999998927116394,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
2799,3.1307339668273926e-05,1.0025221109390259,0.006332000000000001,0.005825,1e-06,0.001467,0.000163,1.0,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
