epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,0.007944699376821518,0.9184398651123047,0.021442000000000072,0.478409,0.151824,0.154218,0.152065,1.9503093957901,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
199,0.008012624457478523,0.9615273475646973,0.011974,0.480424,0.154777,0.157388,0.155052,2.217341184616089,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
299,0.009680844843387604,0.9745303988456726,0.00709,0.4814,0.155319,0.157808,0.155562,2.4687349796295166,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
399,0.010655080899596214,0.9866936206817627,0.004024,0.481752,0.156917,0.159477,0.157171,2.7117795944213867,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
499,0.005176096688956022,0.9936857223510742,0.002558999999999978,0.482267,0.157106,0.159671,0.157365,2.913459062576294,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
599,0.004147581290453672,0.9956707954406738,0.0020809999999999995,0.480973,0.155829,0.15848,0.156082,3.0757205486297607,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
699,-0.0025681201368570328,0.9978459477424622,0.0021059999999999968,0.483548,0.15426,0.156906,0.154502,3.2260570526123047,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
799,0.0005903411656618118,0.998054027557373,0.0010949999999999849,0.482604,0.155694,0.158234,0.155967,3.3679630756378174,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
899,0.002450544387102127,0.9982497096061707,0.0017660000000000453,0.481978,0.155844,0.158296,0.156115,3.4966232776641846,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
999,0.0010492992587387562,0.9978898763656616,0.0014129999999999976,0.482027,0.154999,0.157575,0.155264,3.6052920818328857,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1099,0.0005697645246982574,0.9999113082885742,0.0013130000000000086,0.481769,0.155208,0.157756,0.155468,3.694756031036377,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1199,0.0008456571958959103,0.9992839097976685,0.0014279999999999848,0.481572,0.154933,0.157465,0.155213,3.772642135620117,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1299,-0.0015023334417492151,1.0008502006530762,0.001479000000000008,0.483203,0.154933,0.157434,0.155154,3.8288326263427734,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1399,0.003038331400603056,0.999718964099884,0.001731000000000038,0.481811,0.155981,0.158507,0.156244,3.866892099380493,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1499,-0.0014321550261229277,0.9998420476913452,0.0010919999999999819,0.483293,0.154729,0.157229,0.154997,3.8760015964508057,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1599,-0.0011245561763644218,1.0021324157714844,0.0011380000000000279,0.483084,0.155547,0.15808,0.155795,3.934354305267334,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1699,-0.0031359861604869366,0.9997637867927551,0.0023050000000000015,0.483924,0.154861,0.157398,0.155105,3.9754221439361572,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1799,-0.0022075006272643805,0.9994068741798401,0.002434999999999965,0.483087,0.155204,0.157713,0.155456,3.96006178855896,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1899,-0.0022357944399118423,0.9991956949234009,0.0017770000000000286,0.483783,0.1555,0.158026,0.155746,3.9328770637512207,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
1999,-0.0016496824100613594,0.9991490840911865,0.0020000000000000018,0.483629,0.154831,0.157456,0.155055,3.8844993114471436,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
2099,-0.004195853602141142,1.000023603439331,0.0032200000000000006,0.484642,0.154978,0.157595,0.155245,3.8405325412750244,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
2199,-0.0012209739070385695,0.9980911016464233,0.0025740000000000762,0.483437,0.155713,0.158313,0.155974,3.861837863922119,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
2299,4.492746666073799e-05,0.9980088472366333,0.0025460000000000482,0.483003,0.156374,0.158994,0.156632,3.868561029434204,0.482648,0.155207,0.15787,0.155468,4.570567607879639,nan,1000000
