epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.01888829469680786,0.9086238145828247,0.132641,0.132641,0.0,0.0,0.0,0.745804488658905,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
199,-0.011560916900634766,0.9340469241142273,0.040453,0.040453,0.0,0.0,0.0,0.8360613584518433,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
299,-0.004553705453872681,0.975521445274353,0.036358,0.036358,0.0,0.0,0.0,0.9295060038566589,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
399,-0.003193795680999756,1.0015231370925903,0.026267,0.026267,0.0,0.002102,0.000196,0.9999940395355225,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
499,0.00040283799171447754,1.0008666515350342,0.0154,0.0154,0.0,0.001555,0.000125,0.9999939203262329,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
599,0.00029662251472473145,1.0003033876419067,0.009757,0.009757,0.0,0.001649,0.000152,0.9999922513961792,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
699,0.0004819035530090332,1.0009632110595703,0.00934,0.00934,0.0,0.002775,0.000299,0.9999964237213135,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
799,0.0003229081630706787,1.0024176836013794,0.00833,0.00833,0.0,0.001447,9.6e-05,0.9999908208847046,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
899,0.00037914514541625977,1.0019786357879639,0.007843,0.007843,0.0,0.002854,0.000321,0.9999891519546509,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
999,0.0005341172218322754,1.0042108297348022,0.008074,0.008072,0.0,0.001989,0.000199,0.9999791383743286,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
1099,0.000975877046585083,1.002646565437317,0.007541,0.00754,0.0,0.001763,0.000175,0.9999896287918091,0.0,0.0,0.002066,0.000201,0.9999992847442627,nan,1000000
