epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,0.011114969849586487,0.9177305698394775,0.021573,0.477347,0.152123,0.154538,0.152358,1.9477473497390747,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
199,0.011060971766710281,0.9607081413269043,0.012057,0.479987,0.155123,0.157684,0.155389,2.2163045406341553,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
299,0.012595513835549355,0.9734944701194763,0.007089,0.480381,0.155321,0.157813,0.155558,2.4684267044067383,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
399,0.013689873740077019,0.9858182668685913,0.004408999999999996,0.480616,0.157071,0.15973,0.157344,2.71036958694458,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
499,0.008384305983781815,0.9930772185325623,0.003247,0.481261,0.157119,0.159683,0.157377,2.913175106048584,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
599,0.007462822366505861,0.9952268004417419,0.0036920000000000286,0.480094,0.15589,0.15851,0.156135,3.0779635906219482,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
699,0.0008225692436099052,0.9974648356437683,0.001476000000000005,0.482671,0.154469,0.156994,0.154709,3.2269434928894043,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
799,0.004067807924002409,0.9977244734764099,0.0020280000000000298,0.481445,0.15569,0.158256,0.155942,3.369898557662964,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
899,0.005928302649408579,0.997870922088623,0.0029020000000000157,0.480967,0.155944,0.158566,0.156219,3.4987120628356934,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
999,0.004438559990376234,0.9974698424339294,0.0024219999999999797,0.481022,0.15506,0.157608,0.155295,3.6000330448150635,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1099,0.003916371148079634,0.9995003938674927,0.002773999999999943,0.480764,0.155203,0.157779,0.155451,3.681410312652588,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1199,0.0041551245376467705,0.998912513256073,0.0029130000000000544,0.480613,0.154991,0.157537,0.155224,3.7511708736419678,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1299,0.001746119000017643,1.0004768371582031,0.0015539999999999443,0.482276,0.154944,0.157453,0.155203,3.804135799407959,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1399,0.006243573967367411,0.9993477463722229,0.003099000000000074,0.480991,0.155962,0.158576,0.156239,3.843024253845215,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1499,0.001750950701534748,0.9993990063667297,0.0018160000000000398,0.482449,0.154764,0.157303,0.155029,3.852980136871338,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
