epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
99,-0.01865217089653015,0.9094502925872803,0.133623,0.133623,0.0,0.0,0.0,0.7464187741279602,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
199,-0.01131930947303772,0.9340546727180481,0.040563,0.040562,0.0,0.0,0.0,0.8361449241638184,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
299,-0.004470378160476685,0.9747700095176697,0.036265,0.036265,0.0,0.0,0.0,0.9295327663421631,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
399,-0.003098130226135254,1.0015300512313843,0.025993000000000002,0.025993,0.0,0.002172,0.000234,0.9999892711639404,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
499,0.0005462467670440674,1.0006914138793945,0.015006,0.015004,0.0,0.001599,0.000153,0.999997615814209,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
599,0.00045430660247802734,1.0004991292953491,0.009585,0.009585,0.0,0.001675,0.000158,0.9999934434890747,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
699,0.0006531476974487305,1.001234769821167,0.009193,0.009193,0.0,0.002817,0.000321,0.999994158744812,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
799,0.0005241036415100098,1.0029817819595337,0.00818,0.00818,0.0,0.001475,0.000108,0.9999985694885254,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
899,0.0006097257137298584,1.0027409791946411,0.007753,0.007753,0.0,0.002881,0.000305,0.9999991655349731,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
999,0.000769883394241333,1.005104422569275,0.008068,0.008068,0.0,0.002033,0.000206,0.9999915361404419,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1099,0.0012170970439910889,1.0036168098449707,0.007435,0.007434,0.0,0.001765,0.000174,0.9999862909317017,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1199,0.001348257064819336,1.004987120628357,0.00706,0.00706,0.0,0.002162,0.000234,0.9999977350234985,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1299,0.0005056560039520264,1.0039411783218384,0.004814,0.004814,0.0,0.00163,0.000156,0.9999955892562866,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1399,0.0005494356155395508,1.003071904182434,0.005633,0.005632,0.0,0.001611,0.000143,0.9999953508377075,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1499,0.0005671977996826172,1.00282883644104,0.005662,0.005662,0.0,0.001754,0.000178,0.9999947547912598,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
1599,0.0006567239761352539,1.0006555318832397,0.00597,0.005969,0.0,0.001455,0.000142,0.9999998211860657,0.0,2e-06,0.001858,0.000191,1.000003457069397,nan,1000000
